-20,92900
-15,69000
-10,51250
-5,38700
0,29500
5,22750
10,17700
15,14000
20,11100
25,8900
30,7200
35,5890
40,4840
45,4000
50,3320
55,2790
60,2350
65,1990
70,1704
75,1444
80,1247
85,1069
90,935
95,815
100,714
105,625
110,552
115,488
120,434.5
